line,category,post_id,text
383,body,raw-L00382,ロトさんって大人だよな
384,body,raw-L00382,馬鹿の挑発に乗らないべ？
385,blank,,
386,post_header,raw-L00386,879 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:02
387,anchor,raw-L00386,>>877
388,body,raw-L00386,おまえもなかなかだぞ
389,body,raw-L00386,俺の手下にしてやろうか
390,blank,,
391,post_header,raw-L00391,892 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:03
392,body,raw-L00391,俺には手下が百人いるぞ
393,body,raw-L00391,おまえらこそひきこもりだべ？
394,blank,,
395,post_header,raw-L00395,904 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:05
396,anchor,raw-L00395,>>900
397,body,raw-L00395,おまえはなかなか見所があるな
398,blank,,
399,post_header,raw-L00399,917 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:06
400,body,raw-L00399,ロトっておまえらに馬鹿にされるほど馬鹿じゃないぞ
401,blank,,
402,post_header,raw-L00402,921 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:07
403,anchor,raw-L00402,>>917
404,body,raw-L00402,偽者だぞこいつ
405,body,raw-L00402,馬鹿だな
406,blank,,
407,post_header,raw-L00407,926 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 18:07
408,body,raw-L00407,ロトさんが不良で強いからひがんでるんだべ？
409,blank,,
410,post_header,raw-L00410,930 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:08
411,anchor,raw-L00410,>>924
412,body,raw-L00410,何言ってるだおまえ
413,body,raw-L00410,馬鹿か
414,blank,,
415,post_header,raw-L00415,935 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:09
416,body,raw-L00415,自作自演はおまえらだろ
417,blank,,
418,post_header,raw-L00418,941 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:09
419,body,raw-L00418,俺を馬鹿にしてるのは全部自作自演だべ？
420,blank,,
421,post_header,raw-L00421,948 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:11
